id	title	abstract	label	actual
1	世界最大单机容量发电机在东电成功制造发运	1月23日，青海海南新能源基地完成了21台50兆乏新能源分布式调相机的建设并正式投入商业运行。这是世界上最大规模的新能源调相机群，将提升青海海南地区新能源外送能力350万千瓦，年均增发新能源电量702亿千瓦时，预计可替代华中地区火电原煤3189万吨，减排二氧化碳5742万吨。该项目由国家电网有限公司推动，旨在解决大直流高比例新能源电力系统安全问题，并为未来大型清洁能源基地的建设和运营提供了成功示范。	自媒体	1
2	电能表更换不再“一刀切”	8月24日，东方电机制造的全球最大单机容量1750兆瓦核能发电机已完成制造并顺利发运。台山核电站是中国首座、世界第三座EPR三代核电技术的大型商用核电站，也是中法合作的最大项目。此发电机为东方电机技术难度最高、结构最复杂、体积最大、重量最重的产品，其成功制造标志着东方电机在大容量发电机领域再创纪录。	自媒体	1
3	国内首个飞轮+锂电池复合储能火力发电联合调频项目投运！	南方电网公司在2022年首次开展了大规模电能表状态评价与更换工作，减少了213万只电能表的轮换，节约了超过63亿元。该公司正在探索智能电能表的新型监管机制，以取代传统的到期轮换方式，并推动计量设备管理模式的转型。这包括使用大数据和人工智能技术进行电能表状态的在线监测和自动化管理。预计未来每年将轮换超过1000万只电能表。公司还与地方政府合作，推动相关计量技术法规的制定。	自媒体	1
4	构建新一代电力系统再获技术突破——全球首个“场站级虚拟同步机功能测试与区域孤岛启动试验”完成	三峡集团的长龙山抽水蓄能电站于5月4日成功将5号机组投产，该机组是世界首台额定转速600转每分钟、容量350兆瓦的抽水蓄能机组。电站总装机容量210万千瓦，设计安装6台350兆瓦机组，其中5号和6号机组由上海福伊特水电设备有限公司供货。5号机组在试运行期间表现优异，符合三峡集团精品机组要求。自2021年6月起，电站已实现5台机组投产，助力华东电网的调峰和优化电源结构。最后一台机组计划于6月底全面投产。	自媒体	1
5	我国特高压电缆可随特高压技术走向世界	南极泰山站位于海拔2621米的高寒环境中，年平均温度为零下36摄氏度，长期缺乏电力供应。东南大学研发的无人值守移动电源系统“东大极能”将于10月22日随雪龙号出征南极，为泰山站提供稳定电力。这套系统能在极寒条件下持续24小时供电1年，具备太阳能和燃油双重能源，最高输出功率为3千瓦。系统还包括实时远程监控、备份发电机组和温度调节技术，以确保在极端环境中稳定运行。	自媒体	1
6	世界最大规模新能源分布式调相机群在青海投运	在11月上旬的第七届电缆料配方设计及生产工艺高级研修班上，哈尔滨理工大学王暄教授强调了电力能源在国民经济中的核心地位，指出中国电力资源分布和需求的不平衡问题。高压输电有助于减少线路损耗，而电缆的使用则能够节约输配电走廊，尤其是在特殊场合如跨海输电时必不可少。特高压电缆在国家级电网、跨地区和跨国能源通道中的重要性日益突出，发展前景广阔。国际电工委员会主席克劳斯·乌赫勒在2013国际智能电网论坛上提到，特高压技术能够减少长距离输电的损耗，并在全球范围内有广泛应用前景。中国的特高压输电技术目前在世界上处于领先地位，并将其电压标准推广为国际标准。随着可再生能源应用增加，输电网络的投资也在增加，城市地下电网和电力传输网络对高压和特高压电缆的需求也在上升。此外，直流输电技术的发展需要新型的高压和特高压电缆来替代老化的充油电缆。中国特高压电缆正在走向国际市场，目前全球有200多个工厂具备高压电缆生产能力，其中中国有70多家，欧洲地区约有40家。	自媒体	1
7	主动配电网技术研究项目落地北京	东华大学的王志宏教授课题组研发出一种可发电的服装材料，使能源衣成为现实。该团队利用工业级纺丝设备生产出可拉伸摩擦发电纱线，结合高弹性聚合物和金属纤维，能在拉伸和弯曲下发电。通过特殊设计和电势极化耦合效应，这种纱线能在各种环境中自发电。研究还实现了发电纱线的织物化，能为电子设备充电并驱动无线信号传输。	自媒体	1
8	我国太阳能热化学分布式供能关键技术取得新进展	4月4日，央视新闻报道了我国首个飞轮储能复合调频项目在山西省朔州市正式投运。该项目由4台500千瓦飞轮装置和10组锂电池组成，总容量达8兆瓦，结合了飞轮和电池储能技术。飞轮装置利用真空磁悬浮下的高速旋转实现电能与动能转换，而锂电池则提供耐用性。该系统相较于传统电池储能技术具有零衰减、零燃爆、零维护、高效率、高倍率等优点，能有效平衡火电机组发电与电网需求之间的电量差，减少机组损耗和能源消耗。项目预计每年减少二氧化硫11吨、氮氧化物254吨和二氧化碳22万吨，对双碳目标和新型电力系统建设具有重要示范意义。	自媒体	1
9	“巨型充电宝”将随“雪龙”号出征南极泰山站有望实现全年不间断供电	10月29日至30日，国网冀北电力和华能大苏计风电厂在张家口国家风光储输示范工程现场成功完成了全球首个场站级虚拟同步机功能测试与区域孤岛启动试验。此次试验旨在应对新能源大规模接入带来的风险，加快新一代电力系统的构建。试验基于世界上首个具备虚拟同步机功能的大规模新能源场站，进一步验证了虚拟同步机技术的工程应用，包括电网调压调频、无功电压支撑和系统抗扰动能力。试验使用了世界上单机容量最大的2x5MW虚拟同步机储能系统作为启动电源，并配备了具有功率和电压平衡作用的监控系统。这不仅确保了孤网系统的功率平衡和电压稳定，还改善了新能源机组的并网稳定性。试验结果验证了大容量新能源虚拟同步机多机并联技术在孤网系统中的科学性和可靠性，提出了由新能源场站启动区域电网的创新方法，提升了新能源汇集区域的风险处置能力。此次试验标志着示范工程在新能源领域的实践和新一代电力系统建设中迈出了重要一步。	自媒体	1
10	350兆瓦！三峡集团长龙山电站5号机组投产发电	500千伏科北变电站在广州正式投入使用，总投资57亿元，是广州供电局的第400座变电站，也是全国首个近零能耗双碳示范站。该站主要满足黄埔区的电力需求，采用全钢架构及多种自主技术，如光伏发电和3D建筑打印。未来，广州计划到2035年建设500千伏变电站20座、220千伏变电站124座、110千伏变电站615座，以支持粤港澳大湾区和广东制造业的发展。	自媒体	1
