id	title	abstract	label	actual
1	一种根部蔬菜的病虫害防治方法	本发明涉及农用机械领域,具体涉及一种根部蔬菜的病虫害防治方法,包括以下步骤：步骤一)在根部蔬菜的周边依次开设至少两圈以上的沟槽；步骤二)在最接近根部蔬菜的沟槽内铺设内部卷有中药杀虫粉的PVC薄膜,在PVC薄膜表面开设多个透气孔,然后将PVC薄膜通过土壤覆盖；步骤三)在次接近根部蔬菜的沟槽内插入两端开口子的药液滴入管,并且在药液滴入管的上部安装将各药液滴入管相连通的输液管；步骤四)在输液管的进口端开设控制药液流入的单项阀。本发明能够采用多级防治的方法,将防治病虫的药引入根部蔬菜的土壤内,对根部蔬菜周围的土壤进行中药防护和农药防护的两种防治,提高了根部蔬菜在土壤内部的生长环境,彻底做到了长期的病虫防治,提高根部蔬菜的防治效果。 	专利	0
2	针织布（涤纶152）	1.本外观设计产品的名称：针织布(涤纶152)；2.本外观设计产品的用途：可以用于制作毛毯、浴袍、睡衣、床单等；也可以用于制作窗帘、桌台布、玩具、汽车内的靠垫、座椅套等；3.本外观设计的设计要点：图案与色彩的结合；4.最能表明设计要点的图片或者照片：主视图；5.本外观设计的产品为单元图案四方连续而无限定边界的平面产品,省略其它视图；6.请求保护的外观设计产品包含有颜色。 	专利	0
3	一种内燃机用渐开线圆柱齿轮传动机构	本实用新型涉及传动机构技术领域,尤其是一种内燃机用渐开线圆柱齿轮传动机构,包括安装箱体,所述安装箱体内设置有输入轴和输出轴,输入轴上设置有主动齿轮组,输出轴上设置有从动齿轮组,安装箱体上间隔设置有散热通孔,输入轴和输出轴之间设置有和安装箱体连接的通风扇,输入轴和输出轴下方设置有冷却槽。本实用新型通过在安装箱体内设置有通风扇和冷却槽,以及冷却槽内设置的冷却液和制冷机共同作用下,降低内燃机内的传动机构温度,从而可以保持箱体内的温度,保证传动机构使用寿命。 	专利	0
4	一种减速机加工用固定装置	本实用新型公开了一种减速机加工用固定装置,包括装置本体；所述装置本体由底座、支架和盛放台组成,所述底座位于装置本体底端,所述支架上侧设置有伸缩杆,所述伸缩杆上端伸入轴承内部,所述盛放台上侧两端设置有电动伸缩杆,所述电动伸缩杆一端均与导线连接,所述导线远离电动伸缩杆一端与脚踏开关装置连接,所述脚踏开关装置上侧设置有踏板,所述踏板中心位置正下方设置有触碰开关,所述电动伸缩杆前端焊接有夹板,且夹板内侧为圆弧设置,所述盛放台上侧位于电动伸缩杆中间位置设置有盛放盘。该实用新型夹板设置为圆弧形,且夹板内侧直径与减速机外径相等,能够增加夹板与减速机之间的接触面积,方便夹板对减速机进行固定。 	专利	0
5	面料（1）	1．本外观设计产品的名称：面料(1)；2．本外观设计产品的用途：用于制作服装；3．本外观设计的设计要点：色彩与图案的结合；4．最能表明设计要点的图片或者照片：主视图；5．本外观设计的产品为单元图案四方连续而无限定边界的平面产品,省略其它视图；6．请求保护的外观设计包含色彩。 	专利	0
6	一种带有耐高温耐寒内芯的救生衣及其内芯的制备方法	本发明公开了一种带有耐高温耐寒内芯的救生衣及其内芯的制备方法,包括有外套和起浮子作用的内芯,所述内芯置于外套的夹层中,该内芯的配方基本组成为：低密度聚乙烯45～55份、高密度聚乙烯20～30份、碳酸钙10～12份、肥皂粉2～4份、玻璃纤维3～5份、发泡剂3～5份、轻质无机填充料22～25份、分散剂1～3份、偶氮二甲酰胺4～6份、热稳定剂0.5～0.8份、水40～45份。本发明的优点在于本内芯抗寒耐高温效果好,有利于环境保护,在水中浸24小时后,其浮力损失不超过5％,在水中能稳定地保持良好的浮力状态。 	专利	0
7	一种用相机检测标签的装置	本实用新型公开了一种用相机检测标签装置,属于检测标签装置技术领域,包括芯片和相机,所述芯片外壁底部中间处设有标签组件,所述芯片外壁顶部中间处安装有视窗NC膜测量组件,所述相机外壁一侧处设有显示调节组件,所述相机外壁两侧中间处设有连接定位组件,所述相机外壁一侧中间处安装有镜头调节组件,在通过相机进行检测时,不仅可以检测位置的精度,对标签上的自己也可以进行校队,如果出现字迹模糊或是字少使标签与产品不符,相机均可通过软件判断出,从而判定产品为不合格品和提高了检测工作的效率。 	专利	0
8	电连接器	本发明揭示一种电连接器,其包括绝缘本体及包覆所述绝缘本体外侧的屏蔽壳体,所述绝缘本体设有向前开口的对接腔,所述屏蔽壳体包括第一壳体,所述第一壳体包括贴覆在所述绝缘本体外侧的第一主体部及自所述第一主体部反折且贴覆于所述第一主体部外侧的反折部,所述反折部设有第一弹片,所述第一弹片用于与对接机壳接触。所述第一壳体利用反折技术形成具有弹片的反折部,第一壳体为一体式结构,结构简单,制程简便。 	专利	0
9	锁刀座	1．本外观设计产品的名称：锁刀座。2．本外观设计产品的用途：本外观设计产品用于加工中心机床上拆装刀具。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。 	专利	0
10	一种牧草烘干装置	本发明公开了一种牧草烘干装置,包括热风机(1)、呈筒状结构的烘干筒(2)、支撑架一(3),其特征在于：还包括皮带传输装置和降温筒,所述的牧草从烘干筒(2)出来后经过皮带传送装置(13)进入降温筒(14)进行降温。本发明与现有技术相比具有如下优点：本发明的牧草烘干装置由原来的烘干筒旋转改为转轴旋转,降低了耗能,而且烘干过后的牧草经过降温可直接打捆,完成加工,减少降温时间,操作方便,刮刀的设置方便清理烘干筒和降温筒的内壁,结构简单、使用效果好。 	专利	0
11	一种金属硅用粉碎机	本发明涉及粉碎装置技术领域,具体是一种金属硅用粉碎机,包括：壳体和粉碎箱,所述粉碎箱设于所述壳体内侧；支撑机构,所述支撑机构设于所述粉碎箱与所述壳体之间；以及粉碎机构,所述粉碎机构与所述粉碎箱相连,用于配合所述粉碎箱实现对金属硅的粉碎,并配合所述支撑机构实现粉碎箱的移动；其中,所述粉碎机构包括：粉碎组件,所述粉碎组件设于所述粉碎箱内侧,与所述壳体转动连接；驱动组件,所述驱动组件与所述粉碎箱相连；空气导向组件,所述空气导向组件设于所述粉碎组件与所述驱动组件之间,通过设置粉碎机构和支撑机构,粉碎组件在驱动组件的驱动下与支撑机构配合实现对金属硅的循环粉碎。 	专利	0
12	一种电驱车循环散热装置	本实用新型涉及一种电驱车循环散热装置,属于汽车制造技术领域,包括制冷剂循环结构、电机、充电器、控制器和电池；所述充电器内还设有变压器；所述电机与电池之间通过所述充电器、控制器来进行连接；所述制冷剂循环结构中的循环路径围绕在所述电机、充电器、控制器的周围；且所述循环路径从所述电池的外围经过；所述充电器、控制器之间保持并联的连接关系。通过上述方式提供一种电驱车循环散热装置,通过制冷剂循环结构将其大量的热传导出至空气当中,保证外壳里面的热达到平衡,使其温升控制在器件允许的工作范围内,最终使得电驱车控制器能够可靠的运行。 	专利	0
