id	title	abstract	label	actual
1	苯并吡喃-4-脲、硫脲和氰胍类化合物的合成及其血管舒张活性	根据苯并吡喃类钾通道开放剂的构效关系和作用机理,设计合成了17个苯并吡喃-4-脲、硫脲和氰胍类化合物,其结构经IR、1H NMR、MS和元素分析确证. 离体扩血管实验研究表明,大部分化合物在1×10-6 mol/L浓度下对低钾(30 mmol/L KCl)诱导的大鼠主动脉条收缩具有一定程度的抑制作用.	学术文献	0
2	核电厂在役检查技术验证方法对比	以基于ASME规范的验证方法和ENIQ验证方法为对象,讨论2种在役检查技术验证方法的特点及其各自存在的问题.ASME规范要求的验证方法侧重于某一类部件检测技术的验证,强调盲测试验和判定验证的统计学证据的重要性；对于某些特定部件检测技术的验证,ASME规范Ⅺ卷附录Ⅷ中的相关规定不够明确.ENIQ验证方法强调通过技术论证和实际测试的结合进行验证,适应性较强.通过比较2种验证方法的特点,对我国的在役检查技术验证提出建议.	学术文献	0
3	纳米铁炭复合材料的制备及硝酸盐去除效果的研究	采用液相还原法制备纳米铁炭颗粒,探讨制备过程中搅拌速率、硼氢化钠的投加速率、加炭时间、炭铁比的影响,并对材料进行TEM、SEM、XRD、XPS表征.结果表明:制备的材料为纳米铁炭复合材料,复合材料孔隙多,比较松散,纳米铁颗粒为椭球形,能负载在层状的活性炭上,活性炭能缓解部分纳米铁颗粒的团聚现象;在炭铁比为0.4,硼氢化钠投加速率为20 mL/min,加炭时间为10 min,搅拌速率为500 r/min的最优条件下制备得到的材料,其对硝酸盐氮的去除率为94.3％.	学术文献	0
4	双估计跟踪偏差的理论分析	BOC信号已被广泛选用于下一代卫星导航系统中，各种无模糊的码跟踪算法相继被提出。其中双估计算法由于其较好的码跟踪性能和健壮性很有可能成为BOC信号接收算法的标准。但该算法基于二维相关函数，难以对实际信道下的跟踪偏差进行理论分析。基于BOC信号的双边带信号模型首次分析了双估计算法的码跟踪偏差。理论分析证明，电离层的色散效应和通道非理想特性会导致较大的测距偏差。仿真结果验证了分析的正确性。该结论对BOC信号跟踪算法的研究具有参考价值。	学术文献	0
5	基于改进量子粒子群算法负荷优化分配研究	针对基于量子粒子群算法(Quantum-behaved Particle Swarm Optimization,QPSO)的火电机组负荷优化分配中存在的初始化粒子遍历性低、粒子早熟收敛等问题,提出了一种基于改进的QPSO的火电机组负荷优化分配方法.改进算法首先采用正弦混沌序列提高初始化粒子位置的遍历性及种群多样性,并结合模拟退火算法能跳出局部最优的特点来增强量子粒子群寻找全局最优单元机组负荷的能力.最后通过Matlab平台,实现算法编程,并通过实例分析证明算法可行性.改进QPSO算法较其他智能算法能增加解空间初始粒子位置的遍历性,并能够快速跳出局部最优解,收敛全局最优解.	学术文献	0
6	光谱稳定的低功耗980 nm单模泵浦源半导体激光器	由于在很多特殊应用领域要求980 nm泵浦源半导体激光器具有光谱稳定、低功耗等,本文通过对980nm单模半导体激光器的腔长、腔面反射率及光纤光栅反射率等优化设计,研制出低阈值、高功率980 nm光纤光栅外腔波长稳定半导体激光器.该低功耗、波长稳定的单模半导体激光器,在100 mA工作电流下尾纤输出功率达到51 mW,3 dB带宽为0.16 nm,边模抑制比大于40 dB,器件在250 mA工作电流下,尾纤输出功率达到120 mW.	学术文献	0
7	基于IBC的TLS握手协议设计与分析	为了克服当前广泛使用的传输层安全协议存在的证书管理复杂和握手延迟高的缺点,通过分析基于身份的密码体制的特点,设计了使用基于身份的加密方案的握手协议,以及适合双向认证条件的使用基于身份的认证的密钥协商方案的握手协议.安全性分析和性能仿真实验结果表明,在同等安全强度下,与基于证书的方案相比,基于IBC的握手协议具有相称的密码算法处理开销,但是减少了协议通信量,明显降低了握手延迟,提高了协议的运行效率.	学术文献	0
8	钱塘江杭州段沉积物中铁锰的分布特征	针对钱塘江杭州段水污染现状,对钱塘江杭州段12个采样断面的沉积物进行了系统研究.结果表明,沉积物Fe、Mn的平均含量分别为2.05％,4.49 mg/kg,变异系数分别为16％、27％.主成分分析结果表明,Fe、Mn、K具有一定的同源性,代表沉积物的自然来源,Fe、Al的分布情况反映两者之间可能存在一定的同源性.相关性分析结果表明,Fe、Al、K均与粘粒显著或极显著相关,反映了地球化学作用和水文条件相互作用的结果；Mn与有机污染(OM)呈显著负相关,说明Mn的污染源与OM不存在同源性,相反,有机质污染导致沉积物锰含量有所降低,两者可能存在密切关系.	学术文献	0
9	石墨及其改性产物研究进展	天然石墨是具有片层结构的含碳无机材料,层间由范德华力连接,可用物理或化学方法将其它分子、原子、离子甚至原子团插入其层间,生成石墨层间化合物(GIC)；GIC经高温膨胀可得到体积为其几百倍的膨胀石墨(EG)；在超声粉碎时,膨胀石墨上的石墨微片剥离,得到纳米石墨微片(NanoG).近年来,富勒烯(Fullerence)、碳纳米管(CNT)、石墨烯(Graphene)的先后开发,为石墨家族注入新的活力,并为其应用开辟了新的空间.系统论述了天然石墨及其改性产物如EG、NanoG、Graphene、CNT、Fullerence的结构、制备方法、性质及用途.	学术文献	0
10	速率陀螺零位对战术导弹飞行控制系统性能影响及解决方案	讨论了速率陀螺零位对直升机载导弹飞行控制系统性能的影响,提出了一种针对压电速率陀螺设计的零位校正方案,应用数字滤波器对速率陀螺零位进行跟踪与提取,并根据导弹挂飞工作环境设置判据以保证所提取零位的真实性.该方案的有效性通过了直升机挂飞试验的验证.	学术文献	0
11	NaBr对杂双子表面活性剂C_mOhpNC_8水溶液吸附和聚集的影响	以表面张力和荧光探针技术研究了NaBr对杂双子表面活性剂C_mOhpNC_8(m:10,14,16)水溶液性质的影响.结果表明,NaBr强烈促进了C_mOhpNC_8在气/液界面上的吸附和在水相中的聚集,其中c_(20)在c_(NaBr)≥10 mmol/L时降到极低的微摩尔/升数量级,显示了相当高的降低水表面张力效率.在NaBr促进下,水溶液中C_mOhpNC_8表现出强烈的预胶团化行为.这些均是对应的2种单头基单烷烃链表面活性剂简单1:1混合所无法实现的,显示了在头基处引入短联接链形成杂双子结构的表面活性优势以及对盐效应的敏感性.	学术文献	0
12	新型细粒浮选柱的研究	基于Jameson浮选柱的下导管充气与矿化技术,作者设计了1套新型细粒浮选柱的实验室装置.试验结果表明,在同等试验条件下,无论是精矿品位还是回收率,新型细粒浮选柱都高于Jameson射流浮选柱和XFD机械搅拌浮选机.	学术文献	0
13	固相萃取和高效液相色谱联用测定污水中的五氯苯酚	采用固相萃取和高效液相色谱相结合的方法对污水中五氯苯酚的含量进行定量检测.结果表明,污水的pH值为4,流速控制在4 mL/L以内,C18固相萃取柱对五氯苯酚有良好的吸附保留性能,以2 mL的甲醇洗脱,洗脱效率在85%～95%之间.与传统的液液萃取相比,固相萃取的优势在于操作时间缩短、有机溶剂的使用量减少.	学术文献	0
14	基于AT25DF641的弹载数据记录器的设计	文中设计了一种基于新型串行Nand Flash存储器AT25DF641的低成本炮弹弹载数据记录器.采用五片存储器阵列,通过对数据采集和存储过程的优化,写入速度可达980kbitls.采用贴片、小封装元件实现小型化.采用电路板固封、控制引脚单独连接、存储器编程和擦除的保护等抗干扰措施.弹载条件下,实际平均速度800kbitls以上,很好的满足了实际需求.	学术文献	0
15	应力强度因子计算的样条虚边界元法	含有裂纹的工程结构在荷载作用时在裂纹尖端会产生应力奇异的现象,其严重的程度可用应力强度因子来表征.采用基于Kelvin基本解的样条虚边界元法,结合位移外推法,给出了断裂问题应力强度因子的求解方法.通过对两个典型断裂问题的分析,对边界子段与虚边界元的划分、小单元的采用以及拟合点位置的确定等关键问题展开了讨论,获得了相关计算参数的选取规律,为该法在断裂问题的进一步应用打下良好的基础.	学术文献	0
